"asset_key","game_number","game_id","display_name","category","platforms","asset_type","size","output_path","prompt_policy","generation_status","review_status","source_generated_image"
"0004_thumb_apsudoku","4","apsudoku","APSudoku","Hint Game","PC","thumbnail","488x256","Assets/Thumbs/apsudoku_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d51bf6cb08191acecf82a2ae528d8.png"
"0004_hero_apsudoku","4","apsudoku","APSudoku","Hint Game","PC","hero","1380x280","Assets/Heroes/apsudoku_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d5213dd5c8191a9ae03cf928f4ad0.png"
"0005_icon_bkpicross_nonograms","5","bkpicross_nonograms","BKPicross/Nonograms","Hint Game","PC","icon","256x256","Assets/bkpicross_nonograms.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d52df9cec819184ad096c00bc3d7f.png"
"0005_thumb_bkpicross_nonograms","5","bkpicross_nonograms","BKPicross/Nonograms","Hint Game","PC","thumbnail","488x256","Assets/Thumbs/bkpicross_nonograms_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d53382794819186dcb1349749431d.png"
"0005_hero_bkpicross_nonograms","5","bkpicross_nonograms","BKPicross/Nonograms","Hint Game","PC","hero","1380x280","Assets/Heroes/bkpicross_nonograms_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d5385fa708191a0f12ff3c541009e.png"
"0006_icon_blue_sphere","6","blue_sphere","Blue Sphere","Hint Game","GEN","icon","256x256","Assets/blue_sphere.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d53d0230081918dcb50dd1d87033e.png"
"0006_thumb_blue_sphere","6","blue_sphere","Blue Sphere","Hint Game","GEN","thumbnail","488x256","Assets/Thumbs/blue_sphere_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d541c73e881919d367b99c083ad28.png"
"0006_hero_blue_sphere","6","blue_sphere","Blue Sphere","Hint Game","GEN","hero","1380x280","Assets/Heroes/blue_sphere_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d545e6d7081918d3e498b2a13692f.png"
"0007_icon_faustdle","7","faustdle","Faustdle","Hint Game","Discord","icon","256x256","Assets/faustdle.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d54a013e0819181bc4ab6f4d4d53c.png"
"0007_thumb_faustdle","7","faustdle","Faustdle","Hint Game","Discord","thumbnail","488x256","Assets/Thumbs/faustdle_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d55019094819191a94fe055745e74.png"
"0007_hero_faustdle","7","faustdle","Faustdle","Hint Game","Discord","hero","1380x280","Assets/Heroes/faustdle_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d555098d88191b70e509b2b6d8f0d.png"
"0008_icon_hintmachine","8","hintmachine","HintMachine","Hint Game","PC","icon","256x256","Assets/hintmachine.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d564ad1a881918b508ea60ce57b6b.png"
"0008_thumb_hintmachine","8","hintmachine","HintMachine","Hint Game","PC","thumbnail","488x256","Assets/Thumbs/hintmachine_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d569e58d88191a3a75deafa4dd61b.png"
"0008_hero_hintmachine","8","hintmachine","HintMachine","Hint Game","PC","hero","1380x280","Assets/Heroes/hintmachine_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d56ec1a54819187dfebaf959eada8.png"
"0009_icon_a_dance_of_fire_and_ice","9","a_dance_of_fire_and_ice","A Dance of Fire and Ice","Hint Game","PC","icon","256x256","Assets/a_dance_of_fire_and_ice.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d57380cb081919db98d3caa1a466e.png"
"0009_thumb_a_dance_of_fire_and_ice","9","a_dance_of_fire_and_ice","A Dance of Fire and Ice","Hint Game","PC","thumbnail","488x256","Assets/Thumbs/a_dance_of_fire_and_ice_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d5773df2481918a2f99d0939dbfc6.png"
"0009_hero_a_dance_of_fire_and_ice","9","a_dance_of_fire_and_ice","A Dance of Fire and Ice","Hint Game","PC","hero","1380x280","Assets/Heroes/a_dance_of_fire_and_ice_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d57beb7888191b4965fb9dd240f77.png"
"0010_icon_a_difficult_game_about_climbing","10","a_difficult_game_about_climbing","A Difficult Game About Climbing","Hint Game","PC","icon","256x256","Assets/a_difficult_game_about_climbing.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d580bf4788191974f2ce1c2aa6547.png"
"0010_thumb_a_difficult_game_about_climbing","10","a_difficult_game_about_climbing","A Difficult Game About Climbing","Hint Game","PC","thumbnail","488x256","Assets/Thumbs/a_difficult_game_about_climbing_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d587a35248191a1f2b741adf3b120.png"
"0010_hero_a_difficult_game_about_climbing","10","a_difficult_game_about_climbing","A Difficult Game About Climbing","Hint Game","PC","hero","1380x280","Assets/Heroes/a_difficult_game_about_climbing_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d58d2990c81919f7da4c1397bfb69.png"
"0011_icon_a_hat_in_time","11","a_hat_in_time","A Hat in Time","Platformer","PC","icon","256x256","Assets/a_hat_in_time.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d59a5400c819196ebaae1a2987831.png"
"0011_thumb_a_hat_in_time","11","a_hat_in_time","A Hat in Time","Platformer","PC","thumbnail","488x256","Assets/Thumbs/a_hat_in_time_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d5a0903e88191ac041b2e81f0665e.png"
"0011_hero_a_hat_in_time","11","a_hat_in_time","A Hat in Time","Platformer","PC","hero","1380x280","Assets/Heroes/a_hat_in_time_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d5a50084081918a5a9a964a613ce2.png"
"0012_icon_a_short_hike","12","a_short_hike","A Short Hike","Platformer","PC","icon","256x256","Assets/a_short_hike.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d5aa0467881919bf0d94e4f4cf99d.png"
"0012_thumb_a_short_hike","12","a_short_hike","A Short Hike","Platformer","PC","thumbnail","488x256","Assets/Thumbs/a_short_hike_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d5b0108648191bf246dd0f5b4d078.png"
"0012_hero_a_short_hike","12","a_short_hike","A Short Hike","Platformer","PC","hero","1380x280","Assets/Heroes/a_short_hike_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d5b5991d08191836e67428a57767b.png"
"0013_icon_actraiser","13","actraiser","ActRaiser","Console Game","SNES","icon","256x256","Assets/actraiser.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d5bbb7078819190685ccc643e4edf.png"
"0013_thumb_actraiser","13","actraiser","ActRaiser","Console Game","SNES","thumbnail","488x256","Assets/Thumbs/actraiser_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d5c200e148191913f4070904d296b.png"
"0013_hero_actraiser","13","actraiser","ActRaiser","Console Game","SNES","hero","1380x280","Assets/Heroes/actraiser_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d5c808aac8191acc2d7fa4620fd56.png"
"0014_icon_adventure","14","adventure","Adventure","Console Game","2600","icon","256x256","Assets/adventure.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d6e702b60819192d4426046aa226d.png"
"0014_thumb_adventure","14","adventure","Adventure","Console Game","2600","thumbnail","488x256","Assets/Thumbs/adventure_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d6ed02db08191942927e6d705c43f.png"
"0014_hero_adventure","14","adventure","Adventure","Console Game","2600","hero","1380x280","Assets/Heroes/adventure_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d6f1d4cf881919600645a39df12e6.png"
"0015_icon_against_the_storm","15","against_the_storm","Against the Storm","Strategy","PC","icon","256x256","Assets/against_the_storm.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d6f825b3c819191518e7861d174d6.png"
"0015_thumb_against_the_storm","15","against_the_storm","Against the Storm","Strategy","PC","thumbnail","488x256","Assets/Thumbs/against_the_storm_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d6fe9810c8191907eaaaaa43a18d2.png"
"0015_hero_against_the_storm","15","against_the_storm","Against the Storm","Strategy","PC","hero","1380x280","Assets/Heroes/against_the_storm_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d7044347c819198feed2786a10126.png"
"0016_icon_age_of_empires_ii_definitive_edition","16","age_of_empires_ii_definitive_edition","Age of Empires II: Definitive Edition","Strategy","PC","icon","256x256","Assets/age_of_empires_ii_definitive_edition.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d709da49c8191944bed34e36edfde.png"
"0016_thumb_age_of_empires_ii_definitive_edition","16","age_of_empires_ii_definitive_edition","Age of Empires II: Definitive Edition","Strategy","PC","thumbnail","488x256","Assets/Thumbs/age_of_empires_ii_definitive_edition_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d711511c88191a50e06c4a652756c.png"
"0016_hero_age_of_empires_ii_definitive_edition","16","age_of_empires_ii_definitive_edition","Age of Empires II: Definitive Edition","Strategy","PC","hero","1380x280","Assets/Heroes/age_of_empires_ii_definitive_edition_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d7238267081918075b2a167024c33.png"
"0017_icon_air_delivery","17","air_delivery","Air Delivery","Simulation","PICO-8","icon","256x256","Assets/air_delivery.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d749dfdb881919b078f0069884930.png"
"0017_thumb_air_delivery","17","air_delivery","Air Delivery","Simulation","PICO-8","thumbnail","488x256","Assets/Thumbs/air_delivery_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d750351b88191975049698f4e0fac.png"
"0017_hero_air_delivery","17","air_delivery","Air Delivery","Simulation","PICO-8","hero","1380x280","Assets/Heroes/air_delivery_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d755c57c8819192b001816e4ca6cc.png"
"0018_icon_an_untitled_story","18","an_untitled_story","An Untitled Story","PC Game","PC","icon","256x256","Assets/an_untitled_story.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d75b452288191b1badb3366568508.png"
"0018_thumb_an_untitled_story","18","an_untitled_story","An Untitled Story","PC Game","PC","thumbnail","488x256","Assets/Thumbs/an_untitled_story_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d7630c9d881919d51f2e7dfce1e3e.png"
"0018_hero_an_untitled_story","18","an_untitled_story","An Untitled Story","PC Game","PC","hero","1380x280","Assets/Heroes/an_untitled_story_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d7691bcac81918d5212c18fa14a2a.png"
"0019_icon_animal_well","19","animal_well","ANIMAL WELL","PC Game","PC","icon","256x256","Assets/animal_well.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d76fb01f8819192885eb3296a6c12.png"
"0019_thumb_animal_well","19","animal_well","ANIMAL WELL","PC Game","PC","thumbnail","488x256","Assets/Thumbs/animal_well_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d782d957081919a08cc0390f895a3.png"
"0019_hero_animal_well","19","animal_well","ANIMAL WELL","PC Game","PC","hero","1380x280","Assets/Heroes/animal_well_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d78abb4c8819185cd7e8d99dc922b.png"
"0020_icon_anodyne","20","anodyne","Anodyne","Action RPG","PC","icon","256x256","Assets/anodyne.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d7f2c26488191b8d9d4860cb4e907.png"
"0020_thumb_anodyne","20","anodyne","Anodyne","Action RPG","PC","thumbnail","488x256","Assets/Thumbs/anodyne_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d7f96cdc48191b8a3229e20c41a8d.png"
"0020_hero_anodyne","20","anodyne","Anodyne","Action RPG","PC","hero","1380x280","Assets/Heroes/anodyne_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d7ffb191481919a862a2bfbfba74e.png"
"0021_icon_another_crabs_treasure","21","another_crabs_treasure","Another Crab's Treasure","PC Game","PC","icon","256x256","Assets/another_crabs_treasure.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d8050be1481918eb26aa3d833ec81.png"
"0021_thumb_another_crabs_treasure","21","another_crabs_treasure","Another Crab's Treasure","PC Game","PC","thumbnail","488x256","Assets/Thumbs/another_crabs_treasure_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d80c208e08191b9bf1387543d98b7.png"
"0021_hero_another_crabs_treasure","21","another_crabs_treasure","Another Crab's Treasure","PC Game","PC","hero","1380x280","Assets/Heroes/another_crabs_treasure_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d811c4600819188822cdd1e30d96f.png"
"0022_icon_apquest","22","apquest","APQuest","PC Game","PC","icon","256x256","Assets/apquest.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d817762b08191b4ce5ef19f71a308.png"
"0022_thumb_apquest","22","apquest","APQuest","PC Game","PC","thumbnail","488x256","Assets/Thumbs/apquest_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d82c8ea188191ab62759cb5a51721.png"
"0022_hero_apquest","22","apquest","APQuest","PC Game","PC","hero","1380x280","Assets/Heroes/apquest_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d832558248191bd8230b83ed67b2a.png"
"0023_icon_ape_escape","23","ape_escape","Ape Escape","Console Game","PSX","icon","256x256","Assets/ape_escape.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d837e2c3481919e8f86ab5a898add.png"
"0023_thumb_ape_escape","23","ape_escape","Ape Escape","Console Game","PSX","thumbnail","488x256","Assets/Thumbs/ape_escape_thumb.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d840159cc819187eb9d7a6b2dd87e.png"
"0023_hero_ape_escape","23","ape_escape","Ape Escape","Console Game","PSX","hero","1380x280","Assets/Heroes/ape_escape_hero.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d84695b84819180ddf5eb524b1f77.png"
"0024_icon_ape_escape_3","24","ape_escape_3","Ape Escape 3","Console Game","PS2","icon","256x256","Assets/ape_escape_3.png","approved-medium-risk-fanart-original-designs-no-official-assets","generated_first_batch","needs_visual_review","C:\Users\marco\.codex\generated_images\019ec0e1-272d-7041-ac83-9a7092f4ef49\ig_09cbf67886f2fb7a016a2d84cea3d081918f2e9240a73cd44d.png"
